,book_title,author,link,price_no_disc,price_with_disc
0,Python for Everybody: Exploring Data in Python 3,Aimee Andrion,https://bookshop.org//books/python-for-everybody-exploring-data-in-python-3/9781530051120,$9.99,$9.99
1,Python Programming Language,Berajah Jayne,https://bookshop.org//books/python-programming-language/9781423241881,$7.95,$7.31
2,Python Basics: A Practical Introduction to Python 3,"Dan Bader, Joanna Jablonski,  et al.",https://bookshop.org//books/python-basics-a-practical-introduction-to-python-3/9781775093329,$39.99,$39.99
3,The Greedy Python,Richard Buckley and Eric Carle,https://bookshop.org//books/the-greedy-python/9781442445765,$4.99,$4.59
4,Python: - The Bible- 3 Manuscripts in 1 book: -Python...,Maurice J. Thompson,https://bookshop.org//books/python-the-bible-3-manuscripts-in-1-book-python-programming-for-beginners-python-programming-for-intermediates-python-715ca5a1-bcfd-4ec2-96fd-eb3fce3704ab/9781980953906,$27.97,$27.97
5,Python Pocket Reference: Python in Your Pocket,Mark Lutz,https://bookshop.org//books/python-pocket-reference-python-in-your-pocket/9781449357016,$19.99,$18.39
6,Python in Easy Steps: Covers Python 3.7,Mike McGrath,https://bookshop.org//books/python-in-easy-steps-covers-python-3-7/9781840788129,$15.99,$14.71
7,Effective Python: 90 Specific Ways to Write Better Python,Brett Slatkin,https://bookshop.org//books/effective-python-90-specific-ways-to-write-better-python/9780134853987,$49.99,$45.99
8,Python Tricks: A Buffet of Awesome Python Features,Dan Bader,https://bookshop.org//books/python-tricks-a-buffet-of-awesome-python-features/9781775093305,$29.99,$29.99
9,Pythons,Serena Stone,https://bookshop.org//books/pythons-9781791141585/9781791141578,$28.55,$26.27
10,Python Cookbook: Recipes for Mastering Python 3,David Beazley and Brian K. Jones,https://bookshop.org//books/python-cookbook-recipes-for-mastering-python-3/9781449340377,$59.99,$55.19
11,Ball Python (Royal Python),Lance Jepson,https://bookshop.org//books/ball-python-royal-python-9781907337673/9781907337673,$14.99,$13.79
12,Python All-In-One for Dummies,Alan Simpson and John C. Shovic,https://bookshop.org//books/python-all-in-one-for-dummies-9781119787600/9781119787600,$39.99,$36.79
13,Coding Projects in Python,DK,https://bookshop.org//books/coding-projects-in-python/9781465461889,$19.99,$18.39
14,A Day in Code- Python: Learn to Code in Python through an...,Shari Eskenas and Ana Quintero Villafraz,https://bookshop.org//books/a-day-in-code-python-learn-to-code-in-python-through-an-illustrated-story-for-kids-and-beginners-9781735907949/9781735907949,$14.99,$14.99
15,"Black Hat Python, 2nd Edition: Python Programming for Hackers...",Justin Seitz and Tim Arnold,https://bookshop.org//books/black-hat-python-2nd-edition-python-programming-for-hackers-and-pentesters/9781718501126,$44.99,$41.39
16,The Greedy Python,Richard Buckley and Eric Carle,https://bookshop.org//books/the-greedy-python-9781416982906/9781416982906,$7.99,$7.35
17,Python Scripting for Arcgis Pro,Paul A. Zandbergen,https://bookshop.org//books/python-scripting-for-arcgis-pro/9781589484993,$79.99,$73.59
18,Python Programming: An Introduction to Computer Science,John M. Zelle,https://bookshop.org//books/python-programming-an-introduction-to-computer-science/9781590282755,$54.00,$54.00
19,Pythons,Martha E. H. Rustad,https://bookshop.org//books/pythons-9781977123190/9781977123190,$29.32,$26.97
20,Deep Learning with Python,François Chollet,https://bookshop.org//books/deep-learning-with-python/9781617294433,$49.99,$49.99
21,The Python Workshop,"Lau Cher Han, Mario Corchero Jiménez,  et al.",https://bookshop.org//books/the-python-workshop/9781839218859,$47.99,$47.99
22,Bite-Size Python: An Introduction to Python Programming,April Speight,https://bookshop.org//books/bite-size-python-an-introduction-to-python-programming-9781119643845/9781119643814,$24.99,$22.99
23,Python for Dummies,Stef Maruch and Aahz Maruch,https://bookshop.org//books/python-for-dummies/9780471778646,$31.99,$29.43
24,Python for MBAs,Mattan Griffel and Daniel Guetta,https://bookshop.org//books/python-for-mbas/9780231193931,$42.00,$42.00
25,Pythons,Gail Terp,https://bookshop.org//books/pythons-9781644664681/9781644664681,$9.99,$9.99
26,Python 101,Michael Driscoll,https://bookshop.org//books/python-101/9780996062817,$25.00,$25.00
27,Python Programming and Visualization for Scientists,Grant W. Petty and Alex Decaria,https://bookshop.org//books/python-programming-and-visualization-for-scientists/9780972903356,$48.00,$48.00
28,Python: For Beginners A Crash Course Guide To Learn Python in...,Timothy C. Needham,https://bookshop.org//books/python-for-beginners-a-crash-course-guide-to-learn-python-in-1-week/9781393160939,$19.95,$19.95
29,Gm-Monty Python Fluxx,,https://bookshop.org//books/gm-monty-python-fluxx/9781929780693,$20.00,$18.40
30,Learn Python in One Day and Learn It Well (2nd Edition):...,Jamie Chan,https://bookshop.org//books/learn-python-in-one-day-and-learn-it-well-2nd-edition-python-for-beginners-with-hands-on-project-the-only-book-you-need-to-start-coding-in-python/9781546488330,$11.67,$11.67
31,Python Fundamentals,"Ryan Marvin, Mark Ng'ang'a,  et al.",https://bookshop.org//books/python-fundamentals/9781789807325,$29.99,$29.99
32,Python,Christopher Cheng and Mark Jackson,https://bookshop.org//books/python-9780763663964/9780763687731,$7.99,$7.99
33,Learning Scientific Programming with Python,Christian Hill,https://bookshop.org//books/learning-scientific-programming-with-python-9781108745918/9781108745918,$44.99,$44.99
34,Coding Games in Python,DK,https://bookshop.org//books/coding-games-in-python/9781465473615,$19.99,$18.39
35,python,Tony F. Charles,https://bookshop.org//books/python-9781801116039/9781801116039,$28.99,$26.67
36,CPython Internals: Your Guide to the Python 3 Interpreter,Anthony Shaw,https://bookshop.org//books/cpython-internals-your-guide-to-the-python-3-interpreter/9781775093343,$39.99,$39.99
37,Python Challenge!,Pm Heathcote,https://bookshop.org//books/python-challenge/9781910523353,$18.00,$18.00
38,Think Bayes: Bayesian Statistics in Python,Allen B. Downey,https://bookshop.org//books/think-bayes-bayesian-statistics-in-python-9781492089469/9781492089469,$49.99,$45.99
39,Murach's Python Programming,Michael Urban and Joel Murach,https://bookshop.org//books/murach-s-python-programming/9781890774974,$57.50,$57.50
40,Python for Kids: A Playful Introduction to Programming,Jason R. Briggs,https://bookshop.org//books/python-for-kids-a-playful-introduction-to-programming/9781593274078,$34.95,$32.15
41,Learning Python: Powerful Object-Oriented Programming,Mark Lutz,https://bookshop.org//books/learning-python-powerful-object-oriented-programming/9781449355739,$74.99,$68.99
42,Using Python for Introductory Econometrics,Daniel Brunner and Florian Heiss,https://bookshop.org//books/using-python-for-introductory-econometrics/9798648436763,$26.90,$26.90
43,Python: The Complete Crash Course to Learn Python in One,Amy W. Douglas,https://bookshop.org//books/python-the-complete-crash-course-to-learn-python-in-one/9788670002807,$114.99,$105.79
44,Beginning Programming with Python for Dummies,John Paul Mueller,https://bookshop.org//books/beginning-programming-with-python-for-dummies/9781119457893,$34.99,$32.19
45,Python programming for beginners,Jason Cannon,https://bookshop.org//books/python-programming-for-beginners/9783033083073,$19.95,$18.35
46,Elements of Programming Interviews in Python: The Insiders'...,"Adnan Aziz, Tsung-Hsien Lee,  et al.",https://bookshop.org//books/elements-of-programming-interviews-in-python-the-insiders-guide/9781537713946,$39.95,$39.95
47,Data Science from Scratch: First Principles with Python,Joel Grus,https://bookshop.org//books/data-science-from-scratch-first-principles-with-python/9781492041139,$59.99,$55.19
48,Python Programming: Python Programming for Intermediates,Adam Stewart,https://bookshop.org//books/python-programming-python-programming-for-intermediates/9781540428998,$5.95,$5.95
49,Python Programming for Beginners: Python Programming Language...,Joseph Joyner,https://bookshop.org//books/python-programming-for-beginners-python-programming-language-tutorial/9781633830394,$5.92,$5.92
50,New Technical Indicators in Python,Sofien Kaabar,https://bookshop.org//books/new-technical-indicators-in-python/9798711128861,$17.99,$17.99
51,Python for Data Science for Dummies,Luca Massaron and John Paul Mueller,https://bookshop.org//books/python-for-data-science-for-dummies/9781119547624,$34.99,$32.19
52,Python for Beginners - 2 Books in 1: Coding for Beginners...,Eric Lutz and Mark Matthes,https://bookshop.org//books/python-for-beginners-2-books-in-1-coding-for-beginners-using-python-python-crash-course-9798672649702/9798672649702,$23.99,$23.99
53,Murach's Python for Data Analysis,Scott McCoy,https://bookshop.org//books/murach-s-python-for-data-analysis/9781943872749,$59.50,$59.50
54,"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,https://bookshop.org//books/fluent-python-clear-concise-and-effective-programming-9781492056355/9781492056355,$69.98,$64.38
55,Python: Guía paso a paso para aprender programación Python,Larry Lutz,https://bookshop.org//books/python-guia-paso-a-paso-para-aprender-programacion-python/9781718638785,$13.38,$13.38
56,Burmese Pythons Invade the Everglades,Susan H. Gray,https://bookshop.org//books/burmese-pythons-invade-the-everglades-9781534188426/9781534188426,$12.79,$11.77
57,Python Programming: This Book Includes: Python for Beginners...,John Brown,https://bookshop.org//books/python-programming-this-book-includes-python-for-beginners-python-programming-9781802262148/9781802262148,$24.99,$22.99
58,Python Programming: This Book Includes: Python for Beginners...,John Brown,https://bookshop.org//books/python-programming-this-book-includes-python-for-beginners-python-programming-9781802262148/9781802262148,$24.99,$22.99
59,Python Distilled,David Beazley,https://bookshop.org//books/python-distilled/9780134173276,$49.99,$49.99
60,Burmese Pythons Invade the Everglades,Susan H. Gray,https://bookshop.org//books/burmese-pythons-invade-the-everglades-9781534188426/9781534188426,$12.79,$11.77
61,Reticulated Python,Craig Boutland,https://bookshop.org//books/reticulated-python-9781647470975/9781647470975,$26.99,$26.99
62,Python for Excel: A Modern Environment for Automation and...,Felix Zumstein,https://bookshop.org//books/python-for-excel-a-modern-environment-for-automation-and-data-analysis/9781492081005,$59.99,$55.19
63,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based...",Eric Matthes,https://bookshop.org//books/python-crash-course-2nd-edition-a-hands-on-project-based-introduction-to-programming/9781593279288,$39.95,$36.75
64,Python Programming: This Book Includes: Python for Beginners...,Daniel O'Reilly,https://bookshop.org//books/python-programming-this-book-includes-python-for-beginners-python-for-data-science-9781801826037/9781801826037,$45.95,$42.27
65,Python,Michael Smith and Tony Coding,https://bookshop.org//books/python-9781801571296/9781801571296,$31.99,$29.43
66,Python for Finance,Yuxing Yan,https://bookshop.org//books/python-for-finance/9781787125698,$59.99,$59.99
67,Python Projects for Beginners: A Ten-Week Bootcamp Approach...,Connor P. Milliken,https://bookshop.org//books/python-projects-for-beginners-a-ten-week-bootcamp-approach-to-python-programming/9781484253540,$44.99,$41.39
68,Making Games with Python & Pygame,Al Sweigart,https://bookshop.org//books/making-games-with-python-pygame/9781469901732,$25.01,$25.01
69,Head First Python: A Brain-Friendly Guide,Paul Barry,https://bookshop.org//books/head-first-python-a-brain-friendly-guide/9781491919538,$59.99,$55.19
70,Introducing Python: Modern Computing in Simple Packages,Bill Lubanovic,https://bookshop.org//books/introducing-python-modern-computing-in-simple-packages-9781492051367/9781492051367,$49.99,$45.99
71,"Invent Your Own Computer Games with Python, 4e",Al Sweigart,https://bookshop.org//books/invent-your-own-computer-games-with-python-4e/9781593277956,$29.95,$27.55
72,Learning Python: Crash Course Tutorial,Guido Van Rossum and Python Development Team,https://bookshop.org//books/learning-python-crash-course-tutorial/9785304117357,$14.99,$13.79
73,Programming Microcontrollers with Python: Experience the...,Armstrong Subero,https://bookshop.org//books/programming-microcontrollers-with-python-experience-the-power-of-embedded-python/9781484270578,$44.99,$41.39
74,Dealing with Python: Spirit of Constriction: Strategies for...,Anne Hamilton and Arpana Sangamithra,https://bookshop.org//books/dealing-with-python-spirit-of-constriction-strategies-for-the-threshold-1-9781925380095/9781925380095,$17.60,$16.19
75,"Python: 2 Manuscript: Deep Learning with Python, Python for...",Daniel Géron,https://bookshop.org//books/python-2-manuscript-deep-learning-with-python-python-for-data-analysis-9781914306655/9781914306143,$29.97,$27.57
76,Python for Algorithmic Trading: From Idea to Cloud Deployment,Yves Hilpisch,https://bookshop.org//books/python-for-algorithmic-trading-from-idea-to-cloud-deployment/9781492053354,$69.99,$64.39
77,Python Programming Books Set: Python Programming For...,James P Long,https://bookshop.org//books/python-programming-books-set-python-programming-for-beginners-complete-guide-for-python-programming/9781514618905,$18.00,$18.00
78,Python Programming: A Beginner's Guide to Learn Python in 7 Days,Ramsey Hamilton,https://bookshop.org//books/python-programming-a-beginner-s-guide-to-learn-python-in-7-days/9781533698537,$9.95,$9.95
79,Python: This Book Includes: Learn Python Programming for...,Jason Scratch,https://bookshop.org//books/python-this-book-includes-learn-python-programming-for-beginners-python-crash-course-and-python-for-data-analysis-create-y/9781914183034,$29.95,$27.55
80,Introduction to Machine Learning with Python: A Guide for...,Sarah Guido and Müller Andreas C.,https://bookshop.org//books/introduction-to-machine-learning-with-python-a-guide-for-data-scientists/9781449369415,$59.99,$59.99
81,Think Python: How to Think Like a Computer Scientist,Allen B. Downey,https://bookshop.org//books/think-python-how-to-think-like-a-computer-scientist/9781491939369,$44.99,$44.99
82,"Python for Data Analysis: Data Wrangling with Pandas, Numpy,...",Wes McKinney,https://bookshop.org//books/python-for-data-analysis-data-wrangling-with-pandas-numpy-and-ipython-9781491957660/9781491957660,$59.99,$55.19
83,PYTHON DATA SCIENCE From beginner to Experts About Techniques...,Python School,https://bookshop.org//books/python-data-science-from-beginner-to-experts-about-techniques-of-data-mining-big-data-analytics-and-science-python-programming-and-how-to-use-them-i-9781802939873/9781802939873,$36.95,$33.99
84,Actionable Python: A Course for New Python Programmers,Nat Dunn,https://bookshop.org//books/actionable-python-a-course-for-new-python-programmers/9781951959050,$39.95,$39.95
85,Python: Python for Beginners and Python Advanced Strategies,Paul Kinley,https://bookshop.org//books/python-python-for-beginners-and-python-advanced-strategies/9781544011806,$13.38,$13.38
86,Python Programming: Python Programming from Beginner to...,Cal Baron,https://bookshop.org//books/python-programming-python-programming-from-beginner-to-intermediate-in-7-days/9781794217010,$9.99,$9.99
87,"Automate the Boring Stuff with Python, 2nd Edition: Practical...",Al Sweigart,https://bookshop.org//books/automate-the-boring-stuff-with-python-2nd-edition-practical-programming-for-total-beginners/9781593279929,$39.95,$36.75
88,Learn Python Visually: Creative Coding with Processing.Py,Tristan Bunn,https://bookshop.org//books/learn-python-visually-creative-coding-with-processing-py/9781718500969,$49.99,$45.99
89,Murach's Python for Data Analysis,Scott McCoy,https://bookshop.org//books/murach-s-python-for-data-analysis-9781943872763/9781943872763,$59.50,$59.50
90,Coding Activities for Building Apps with Python,Cathleen Small,https://bookshop.org//books/coding-activities-for-building-apps-with-python/9781725340961,$34.45,$34.45
91,Python for Finance: Mastering Data-Driven Finance,Yves Hilpisch,https://bookshop.org//books/python-for-finance-mastering-data-driven-finance/9781492024330,$69.99,$69.99
92,Python Programming Language,Python Programming,https://bookshop.org//books/python-programming-language-9781802516616/9781802516609,$29.88,$27.49
93,Using Asyncio in Python: Understanding Python's Asynchronous...,Caleb Hattingh,https://bookshop.org//books/using-asyncio-in-python-understanding-python-s-asynchronous-programming-features/9781492075332,$44.99,$41.39
94,Python for SAS Users: A Sas-Oriented Introduction to Python,Sarah Chen and Randy Betancourt,https://bookshop.org//books/python-for-sas-users-a-sas-oriented-introduction-to-python/9781484250006,$44.99,$41.39
95,High Performance Python: Practical Performant Programming for...,Ian Ozsvald and Micha Gorelick,https://bookshop.org//books/high-performance-python-practical-performant-programming-for-humans-9781492055020/9781492055020,$59.99,$55.19
96,Python dla wszystkich: Odkrywanie danych z Python 3,Charles Severance,https://bookshop.org//books/python-dla-wszystkich-odkrywanie-danych-z-python-3/9788396017604,$14.09,$14.09
97,Coding in Python: 3 Books in 1-A Beginners Guide to Learn...,Robert C. Matthews,https://bookshop.org//books/coding-in-python-3-books-in-1-a-beginners-guide-to-learn-coding-in-python-coding-using-the-principles-and-theories-of-python-programmi-f7b1f775-0398-4963-b41f-7027f6dfada6/9781913842260,$43.00,$39.56
98,Machine Learning: 4 Books in 1: Basic Concepts + Artificial...,Ethem Mining,https://bookshop.org//books/machine-learning-4-books-in-1-basic-concepts-artificial-intelligence-python-programming-python-machine-learning-a-comprehensive-9781914028434/9781914028298,$39.87,$36.68
99,Python Programming: Python Programming from Beginner to...,Cal Baron,https://bookshop.org//books/python-programming-python-programming-from-beginner-to-intermediate-in-7-days/9781794217010,$9.99,$9.99
100,Murach's Python for Data Analysis,Scott McCoy,https://bookshop.org//books/murach-s-python-for-data-analysis-9781943872763/9781943872763,$59.50,$59.50
101,Using Asyncio in Python: Understanding Python's Asynchronous...,Caleb Hattingh,https://bookshop.org//books/using-asyncio-in-python-understanding-python-s-asynchronous-programming-features/9781492075332,$44.99,$41.39
102,"Python Programming: 2 Manuscripts - Python Crash Course,...",Dany Log,https://bookshop.org//books/python-programming-2-manuscripts-python-crash-course-python-for-data-analysis-9781513677170/9781513677170,$19.99,$18.39
103,Python Programming Language,Python Programming,https://bookshop.org//books/python-programming-language-9781802516616/9781802516609,$29.88,$27.49
104,Dive Into Algorithms: A Pythonic Adventure for the Intrepid...,Bradford Tuckfield,https://bookshop.org//books/dive-into-algorithms-a-pythonic-adventure-for-the-intrepid-beginner/9781718500686,$39.95,$36.75
105,Python Programming for Beginners: A Kid's Guide to Coding...,Patricia Foster,https://bookshop.org//books/python-programming-for-beginners-a-kid-s-guide-to-coding-fundamentals/9781646113880,$16.99,$15.63
106,Ontologies with Python: Programming Owl 2.0 Ontologies with...,Lamy Jean-Baptiste,https://bookshop.org//books/ontologies-with-python-programming-owl-2-0-ontologies-with-python-and-owlready2/9781484265512,$39.99,$36.79
107,A Python Data Analyst's Toolkit: Learn Python and...,Gayathri Rajagopalan,https://bookshop.org//books/a-python-data-analyst-s-toolkit-learn-python-and-python-based-libraries-with-applications-in-data-analysis-and-statistics/9781484263983,$44.99,$41.39
108,Advanced Python Scripting for Arcgis Pro,Paul A. Zandbergen,https://bookshop.org//books/advanced-python-scripting-for-arcgis-pro/9781589486188,$69.99,$64.39
109,Mastering Python Scripting for System Administrators,Ganesh Sanjiv Naik,https://bookshop.org//books/mastering-python-scripting-for-system-administrators/9781789133226,$53.99,$53.99
110,High Performance Python: Practical Performant Programming for...,Micha Gorelick and Ian Ozsvald,https://bookshop.org//books/high-performance-python-practical-performant-programming-for-humans-9781492055020/9781492055020,$59.99,$55.19
111,Advanced Python for Biologists,Martin O. Jones,https://bookshop.org//books/advanced-python-for-biologists/9781495244377,$39.00,$39.00
112,Coding for Kids: Python: Learn to Code with 50 Awesome Games...,Adrienne B. Tacke,https://bookshop.org//books/coding-for-kids-python-learn-to-code-with-50-awesome-games-and-activities/9781641521758,$19.99,$18.39
113,Python for Linguists,Michael Hammond,https://bookshop.org//books/python-for-linguists/9781108737074,$39.99,$39.99
114,Artificial Intelligence in Finance: A Python-Based Guide,Yves Hilpisch,https://bookshop.org//books/artificial-intelligence-in-finance-a-python-based-guide/9781492055433,$79.99,$73.59
115,Huggy the Python Hugs Too Hard,Ame Dyckman and Alex G. Griffiths,https://bookshop.org//books/huggy-the-python-hugs-too-hard/9781534410800,$8.99,$8.27
116,A Concise Introduction to Programming in Python,Mark J. Johnson,https://bookshop.org//books/a-concise-introduction-to-programming-in-python/9781138082588,$68.34,$68.34
117,Python for Kids for Dummies,Brendan Scott,https://bookshop.org//books/python-for-kids-for-dummies/9781119093107,$29.99,$29.99
118,Python: Python basics for Beginners,Andy Vickler,https://bookshop.org//books/python-python-basics-for-beginners/9781955786331,$24.90,$22.91
119,Advanced Python for Biologists,Martin O. Jones,https://bookshop.org//books/advanced-python-for-biologists/9781495244377,$39.00,$39.00
120,Python Programming: The Ultimate Crash Course For Beginners...,Stephen Ward,https://bookshop.org//books/python-programming-the-ultimate-crash-course-for-beginners-to-learn-coding-with-python-9781801096805/9781803351865,$34.99,$32.19
121,Practical Deep Learning: A Python-Based Introduction,Ron Kneusel,https://bookshop.org//books/practical-deep-learning-a-python-based-introduction/9781718500747,$59.95,$55.15
122,Python Beginner - Intermediate Level,Python Programming,https://bookshop.org//books/python-beginner-intermediate-level/9781802516630,$39.88,$36.69
123,Programming Python: Powerful Object-Oriented Programming,Mark Lutz,https://bookshop.org//books/programming-python-powerful-object-oriented-programming/9780596158101,$74.99,$68.99
124,Django for Professionals: Production websites with Python &...,William S. Vincent,https://bookshop.org//books/django-for-professionals-production-websites-with-python-django/9781735467238,$39.00,$39.00
125,Pyomo -- Optimization Modeling in Python,"Bethany L Nicholson, Gabriel A. Hackebeil,  et al.",https://bookshop.org//books/pyomo-optimization-modeling-in-python-9783030689278/9783030689278,$79.99,$79.99
126,Huggy the Python Hugs Too Hard,Ame Dyckman and Alex G. Griffiths,https://bookshop.org//books/huggy-the-python-hugs-too-hard/9781534410800,$8.99,$8.27
127,Introduction to Radar Using PYTHON and MATLAB,Andy Harrison,https://bookshop.org//books/introduction-to-radar-using-python-and-matlab/9781630815974,$159.00,$159.00
128,A Concise Introduction to Programming in Python,Mark J. Johnson,https://bookshop.org//books/a-concise-introduction-to-programming-in-python/9781138082588,$68.34,$68.34
129,Python Programming: The Complete Crash Course for Beginners...,Andrew Park,https://bookshop.org//books/python-programming-the-complete-crash-course-for-beginners-to-mastering-python-with-practical-applications-to-data-analysis-analytics-9798709048546/9798709048546,$14.95,$14.95
130,Python Penetration Testing Cookbook,Rejah Rehim,https://bookshop.org//books/python-penetration-testing-cookbook/9781784399771,$41.99,$41.99
131,Conceptual Programming with Python,Thorsten Altenkirch and Isaac Triguero,https://bookshop.org//books/conceptual-programming-with-python/9780244822767,$19.51,$19.51
132,Intuitive Python: Productive Development for Projects That Last,David Muller,https://bookshop.org//books/intuitive-python-productive-development-for-projects-that-last/9781680508239,$26.95,$26.95
133,Advancing Into Analytics: From Excel to Python and R,George Mount,https://bookshop.org//books/advancing-into-analytics-from-excel-to-python-and-r/9781492094340,$59.99,$55.19
134,Python: Python Programming for Beginners Guide to Learn...,Josh Thompsons,https://bookshop.org//books/python-python-programming-for-beginners-guide-to-learn-python-python-language-and-python-coding/9781545494141,$15.38,$15.38
135,Hacken mit Python und Kali-Linux: Entwicklung eigener...,Alicia Noors and Mark B,https://bookshop.org//books/hacken-mit-python-und-kali-linux-entwicklung-eigener-hackingtools-mit-python-unter-kali-linux/9783748165811,$29.50,$29.50
136,Python Programming for Beginners: A guide to Python computer...,Joe Benton,https://bookshop.org//books/python-programming-for-beginners-a-guide-to-python-computer-language-computer-programming-and-learning-python-fast-9781761030925/9781761030925,$14.99,$13.79
137,Python by Example: Learning to Program in 150 Challenges,Nichola Lacey,https://bookshop.org//books/python-by-example-learning-to-program-in-150-challenges/9781108716833,$22.95,$21.11
138,Coding for kids Python,Mark B. Bennet,https://bookshop.org//books/coding-for-kids-python-9781838279387/9781838279387,$19.95,$18.35
139,"Deep Learning with Python, Second Edition",François Chollet,https://bookshop.org//books/deep-learning-with-python-second-edition/9781617296864,$59.99,$59.99
140,Practical Statistics for Data Scientists: 50+ Essential...,"Andrew Bruce, Peter Gedeck,  et al.",https://bookshop.org//books/practical-statistics-for-data-scientists-50-essential-concepts-using-r-and-python/9781492072942,$69.99,$64.39
141,Python Machine Learning - Third Edition: Machine Learning and...,Vahid Mirjalili and Sebastian Raschka,https://bookshop.org//books/python-machine-learning-third-edition-machine-learning-and-deep-learning-with-python-scikit-learn-and-tensorflow-2/9781789955750,$47.99,$47.99
142,Pythons,Colleen Sexton,https://bookshop.org//books/pythons-9781600143182/9781600143182,$26.95,$26.95
143,Python for Beginners: 2 Books in 1: Python Programming for...,Programming Languages Academy,https://bookshop.org//books/python-for-beginners-2-books-in-1-python-programming-for-beginners-python-workbook-9781914038297/9781914038280,$31.38,$28.87
144,Python for Data Analysis How The Python Coding Is...,Python School,https://bookshop.org//books/python-for-data-analysis-how-the-python-coding-is-revolutionizing-computer-programming-language-and-what-you-need-to-know-about-it-right-now-with-a-py-9781802939859/9781802939842,$26.95,$24.79
145,Python for Data Analysis: Master Deep Learning with Python...,Jason Scratch,https://bookshop.org//books/python-for-data-analysis-master-deep-learning-with-python-language-and-become-great-at-programming-python-for-beginners-with-hands-on-project-9781914183027/9781914183027,$19.95,$18.35
146,Python Aplicado,Eugenia Bahit,https://bookshop.org//books/python-aplicado/9781838190125,$40.80,$40.80
147,Python,Eric Chamberlin,https://bookshop.org//books/python-9781801157032/9781801157032,$28.95,$26.63
148,Machine Learning with Python for Everyone,Mark Fenner,https://bookshop.org//books/machine-learning-with-python-for-everyone/9780134845623,$49.99,$45.99
149,Python Crash Course for Data Analysis: A Complete Beginner...,Ai Publishing,https://bookshop.org//books/python-crash-course-for-data-analysis-a-complete-beginner-guide-for-python-coding-numpy-pandas-and-data-visualization/9781733042642,$15.99,$15.99
150,"Python Programming: 4 Books in One: Python for Beginners,...",Michael And Eric Scratch,https://bookshop.org//books/python-programming-4-books-in-one-python-for-beginners-coding-python-alghoritms-machine-learning-9781801587174/9781801587075,$42.88,$39.45
151,The Python Workbook: A Brief Introduction with Exercises and...,Ben Stephenson,https://bookshop.org//books/the-python-workbook-a-brief-introduction-with-exercises-and-solutions/9783030188726,$54.99,$54.99
152,Pythons,Colleen Sexton,https://bookshop.org//books/pythons-9781600143182/9781600143182,$26.95,$26.95
153,Problem Solving with Algorithms and Data Structures Using Python,David L. Ranum and Bradley N Miller,https://bookshop.org//books/problem-solving-with-algorithms-and-data-structures-using-python/9781590282571,$54.00,$54.00
154,How to Promenade with a Python (and Not Get Eaten): A Polite...,Rachel Poliquin and Kathryn Durst,https://bookshop.org//books/how-to-promenade-with-a-python-and-not-get-eaten-a-polite-predators-book/9780735266582,$12.99,$11.95
155,Hacken mit Python und Kali-Linux: Entwicklung eigener...,Alicia Noors and Mark B,https://bookshop.org//books/hacken-mit-python-und-kali-linux-entwicklung-eigener-hackingtools-mit-python-unter-kali-linux/9783748165811,$29.50,$29.50
156,Practical Statistics for Data Scientists: 50+ Essential...,"Peter Gedeck, Peter Bruce,  et al.",https://bookshop.org//books/practical-statistics-for-data-scientists-50-essential-concepts-using-r-and-python/9781492072942,$69.99,$64.39
157,"Python: 5 Manuscripts - Python for Beginners, Python...",Joshua Welsh,https://bookshop.org//books/python-5-manuscripts-python-for-beginners-python-programming-hacking-with-python-tor-bitcoin/9781543252217,$31.67,$31.67
158,"Python Programming: 2 BOOKS IN 1: "" Learn Python Programming...",Michael Learn,https://bookshop.org//books/python-programming-2-books-in-1-learn-python-programming-python-coding-and-programming-a-practical-beginners-guide-to-learn-python/9781801571401,$34.99,$32.19
159,Data Structures and Algorithms in Python,"Roberto Tamassia, Michael H. Goldwasser,  et al.",https://bookshop.org//books/data-structures-and-algorithms-in-python/9781118290279,$203.94,$203.94
160,Python for Data Analysis: Master Deep Learning with Python...,Jason Scratch,https://bookshop.org//books/python-for-data-analysis-master-deep-learning-with-python-language-and-become-great-at-programming-python-for-beginners-with-hands-on-project-9781914183027/9781914183027,$19.95,$18.35
161,Python for the Lab,Aquiles Carattino,https://bookshop.org//books/python-for-the-lab/9781716517686,$30.00,$30.00
162,Python Course 2021,Oliver Thomas,https://bookshop.org//books/python-course-2021-9781008949829/9781008949867,$120.00,$110.40
163,Python Para Todos: Explorando Dados com Python 3,,https://bookshop.org//books/python-para-todos-explorando-dados-com-python-3/9798635191408,$9.99,$9.99
164,What Is Python 2021: The Complete Crash Course to Learn...,Arthur Johnson,https://bookshop.org//books/what-is-python-2021-the-complete-crash-course-to-learn-python-in-one-week-9781008942011/9781008941991,$238.00,$218.96
165,Python For Data Analysis: A Beginner's Guide to Learn Data...,John Hush,https://bookshop.org//books/python-for-data-analysis-a-beginner-s-guide-to-learn-data-analysis-with-python-programming-f6b53671-8ac3-440c-9d9c-549996d90c5a/9781801239165,$33.99,$31.27
166,Effective Python: 59 Specific Ways to Write Better Python,Brett Slatkin,https://bookshop.org//books/effective-python-59-specific-ways-to-write-better-python/9780134034287,$39.99,$39.99
167,Learning Python: The Perfect Beginner's Guide to Learning How...,David Arnold,https://bookshop.org//books/learning-python-the-perfect-beginner-s-guide-to-learning-how-to-program-with-python/9781803210902,$25.00,$23.00
